appliance_code,power_watts,duration_minutes,is_night,is_occupied,temp_setting,energy_kwh
1,3407.1428571428573,84,0,0,15.7,4.77
1,12040.0,15,0,0,15.7,3.01
3,3984.6153846153848,39,0,1,21.2,2.59
3,5631.818181818182,44,0,0,16.3,4.13
0,6488.372093023256,43,0,1,21.8,4.65
4,16079.999999999998,15,1,0,23.0,4.02
1,4563.636363636364,33,1,1,16.1,2.51
5,285.7142857142857,42,0,1,17.1,0.2
5,20025.0,8,0,0,22.5,2.67
2,217200.0,1,0,0,16.9,3.62
5,4680.0,25,0,0,22.7,1.95
3,835.4430379746835,79,1,0,20.2,1.1
4,3900.0,52,0,0,18.9,3.38
2,50040.0,5,0,0,22.3,4.17
3,994.1176470588235,102,0,1,24.0,1.69
1,6576.0,25,1,0,20.9,2.74
0,7800.0,24,1,1,23.7,3.12
1,29550.0,4,0,0,21.9,1.97
0,5785.714285714285,42,1,1,18.2,4.05
1,5177.777777777777,54,1,1,20.7,4.66
4,1435.2941176470588,102,0,1,21.8,2.44
3,1560.0,5,0,1,18.1,0.13
5,1329.4117647058824,102,1,1,23.6,2.26
5,782.6086956521739,46,0,0,18.0,0.6
0,3814.285714285714,42,1,1,20.8,2.67
5,3073.846153846154,65,0,0,19.4,3.33
5,4174.468085106383,47,1,0,17.0,3.27
3,2000.0,75,0,1,15.1,2.5
1,1213.0434782608695,46,1,0,24.7,0.93
3,95.74468085106383,94,0,0,20.8,0.15
2,2762.5,96,1,0,20.8,4.42
1,1471.578947368421,95,0,1,21.7,2.33
4,2976.470588235294,51,1,0,18.2,2.53
4,3784.6153846153848,52,1,0,23.7,3.28
3,12081.818181818182,22,0,1,20.7,4.43
3,2211.1111111111113,54,0,1,22.0,1.99
0,3885.714285714286,63,0,0,19.9,4.08
5,11261.538461538461,26,0,1,22.1,4.88
2,1200.0,85,0,0,19.5,1.7
2,728.5714285714286,70,0,0,20.1,0.85
3,6892.307692307692,39,0,1,22.7,4.48
0,145200.0,1,0,0,19.8,2.42
4,248.64864864864865,111,0,1,15.8,0.46
2,9300.0,14,1,1,19.5,2.17
3,42900.0,6,0,1,22.5,4.29
2,434.0425531914894,47,0,0,20.2,0.34
1,1335.8490566037735,53,1,0,20.4,1.18
0,8496.774193548386,31,1,1,16.4,4.39
1,2791.5789473684213,95,0,1,15.1,4.42
5,1044.8275862068965,116,0,1,16.2,2.02
5,800.0,60,1,1,15.7,0.8
2,5276.470588235294,34,0,0,18.4,2.99
5,4453.125,64,0,0,19.5,4.75
5,13433.333333333336,18,0,1,17.3,4.03
4,5422.641509433963,53,0,0,19.1,4.79
1,1652.1739130434783,69,0,0,20.9,1.9
2,291.74311926605503,109,0,1,19.7,0.53
1,4982.608695652174,46,0,0,23.7,3.82
3,284.2105263157895,57,0,0,17.9,0.27
0,4500.0,32,0,1,17.7,2.4
3,20400.0,10,0,0,22.9,3.4
0,3481.818181818182,66,1,1,23.1,3.83
5,1908.5714285714287,105,0,0,19.1,3.34
3,1221.4285714285713,84,0,0,20.1,1.71
4,8400.0,25,1,0,21.3,3.5
0,2100.0,92,0,0,17.8,3.22
1,3068.8524590163934,61,0,0,24.7,3.12
4,2163.1578947368425,114,0,0,16.5,4.11
1,2935.294117647059,102,1,1,17.3,4.99
2,2293.069306930693,101,0,1,16.5,3.86
1,1075.8620689655172,116,1,0,16.2,2.08
3,2338.3177570093458,107,1,1,16.5,4.17
0,6960.0,5,0,1,24.5,0.58
3,8333.333333333334,9,1,0,19.4,1.25
3,2089.090909090909,110,1,0,17.4,3.83
4,323.6842105263158,76,0,1,22.4,0.41
5,1640.0,45,0,1,20.8,1.23
2,7410.810810810811,37,0,0,21.7,4.57
3,4725.0,24,0,0,22.6,1.89
2,7870.588235294118,17,0,0,22.8,2.23
2,1600.0,96,1,0,21.5,2.56
2,1636.3636363636363,77,0,1,15.1,2.1
1,1364.7058823529412,51,1,1,18.0,1.16
1,2465.8536585365855,82,1,0,22.1,3.37
0,3223.2558139534885,43,0,1,17.1,2.31
2,4786.363636363636,44,1,0,22.0,3.51
1,6228.571428571429,21,1,0,21.7,2.18
1,2999.9999999999995,82,1,0,17.5,4.1
4,3211.1111111111113,54,1,1,22.4,2.89
3,382.3529411764706,102,0,0,21.1,0.65
4,2091.26213592233,103,0,0,16.4,3.59
3,3463.6363636363635,22,1,1,18.0,1.27
0,2719.3548387096776,62,1,0,15.9,2.81
3,20769.23076923077,13,0,0,17.7,4.5
3,1106.25,96,0,1,24.3,1.77
1,756.5217391304348,92,1,1,18.3,1.16
2,3600.0,60,0,0,18.7,3.6
1,2598.1132075471696,106,0,1,19.4,4.59
3,2057.1428571428573,84,0,0,22.7,2.88
3,5300.0,12,1,0,22.6,1.06
0,2868.75,96,1,0,19.1,4.59
2,912.0,100,0,1,15.7,1.52
3,1840.3361344537816,119,1,1,21.2,3.65
2,446.3414634146341,82,0,0,22.0,0.61
3,3859.090909090909,44,0,1,19.6,2.83
3,27975.0,8,0,0,24.9,3.73
5,8110.3448275862065,29,0,1,23.6,3.92
5,1261.0169491525423,59,0,0,15.9,1.24
2,13800.0,12,1,0,22.4,2.76
2,3036.3636363636365,66,1,1,17.4,3.34
4,2293.2203389830506,118,1,1,19.0,4.51
0,3650.0,24,1,0,22.8,1.46
2,11960.0,15,1,0,15.6,2.99
1,190.0,60,1,1,20.0,0.19
4,4920.0,20,0,1,17.6,1.64
5,1500.0,110,0,0,22.4,2.75
3,7371.428571428572,7,1,0,21.0,0.86
2,4825.0,48,0,1,15.1,3.86
2,3351.7241379310344,58,0,0,15.3,3.24
5,2700.0,50,0,0,19.8,2.25
4,866.6666666666666,45,0,0,23.3,0.65
1,472.56637168141594,113,0,1,24.9,0.89
1,5355.555555555556,54,0,1,20.2,4.82
5,7384.615384615385,39,0,1,16.1,4.8
2,6975.0,24,1,0,21.1,2.79
4,3187.5,48,0,0,16.4,2.55
4,757.8947368421053,76,1,1,24.7,0.96
5,387.34177215189874,79,0,0,17.3,0.51
0,682.1052631578948,95,0,1,16.9,1.08
1,807.9207920792079,101,0,0,21.8,1.36
2,9641.379310344828,29,1,0,21.6,4.66
1,3610.5263157894738,57,0,1,16.8,3.43
3,3031.5789473684213,95,0,0,15.1,4.8
2,1851.063829787234,47,0,1,21.1,1.45
5,12240.0,10,1,1,23.8,2.04
0,53520.0,5,0,1,17.3,4.46
3,589.5652173913044,115,0,1,20.0,1.13
4,1671.9999999999998,75,1,0,22.2,2.09
3,896.7741935483871,93,0,0,17.0,1.39
0,324.3243243243243,111,1,0,20.4,0.6
5,48200.0,3,1,1,17.2,2.41
1,7636.363636363636,11,1,0,24.6,1.4
0,1116.6666666666667,72,1,1,20.5,1.34
5,1664.516129032258,93,0,1,19.3,2.58
3,833.8983050847457,59,0,1,16.1,0.82
4,1717.2413793103449,29,0,0,23.3,0.83
5,264.40677966101697,118,0,0,17.5,0.52
2,1580.6451612903227,93,1,0,18.1,2.45
2,3117.6470588235293,51,0,1,23.1,2.65
1,3025.531914893617,94,0,1,20.8,4.74
4,6029.268292682927,41,0,0,18.5,4.12
3,926.7326732673267,101,0,1,19.3,1.56
0,4690.909090909091,11,0,1,19.5,0.86
1,3592.7710843373493,83,0,1,18.6,4.97
0,1309.6774193548385,93,1,1,21.8,2.03
1,5655.31914893617,47,0,1,18.3,4.43
0,2088.8888888888887,27,0,0,23.8,0.94
3,1452.1008403361345,119,1,0,18.6,2.88
2,6128.571428571428,42,0,1,22.0,4.29
4,775.4716981132076,106,0,1,17.8,1.37
3,283.3333333333333,36,0,1,16.4,0.17
1,4423.880597014925,67,1,1,22.5,4.94
5,290.625,64,0,0,21.6,0.31
2,893.4782608695652,92,1,1,20.8,1.37
1,4125.0,24,1,0,18.2,1.65
4,3045.2830188679245,53,0,1,19.2,2.69
5,41914.28571428572,7,0,1,19.3,4.89
1,387.8048780487805,82,1,0,15.4,0.53
2,5650.0,48,0,0,18.2,4.52
4,1253.4653465346532,101,1,0,23.0,2.11
4,3180.0,30,0,0,24.4,1.59
1,1744.1860465116279,43,1,1,18.3,1.25
1,1692.0,50,1,1,19.9,1.41
4,232.6530612244898,98,0,1,18.3,0.38
5,15150.0,4,0,0,22.0,1.01
0,3394.0298507462685,67,1,0,16.6,3.79
3,2584.6153846153848,78,1,0,15.4,3.36
4,2213.793103448276,87,0,0,20.0,3.21
3,1993.5483870967741,31,0,1,21.9,1.03
4,2417.821782178218,101,1,1,23.6,4.07
0,3701.4084507042253,71,0,0,24.9,4.38
3,2358.6206896551726,116,0,0,15.9,4.56
0,4378.125,64,1,0,21.7,4.67
3,513.5135135135135,111,0,0,21.1,0.95
5,2320.0,90,0,0,23.0,3.48
1,8805.882352941177,34,0,0,22.1,4.99
5,4326.315789473684,19,0,0,22.8,1.37
4,20175.0,8,0,1,15.9,2.69
2,1531.4285714285713,105,0,1,21.0,2.68
2,1442.4242424242425,99,1,1,24.9,2.38
0,550.0,108,1,1,22.2,0.99
2,3032.967032967033,91,0,0,23.4,4.6
2,267.2268907563025,119,0,0,19.9,0.53
4,827.5862068965517,116,0,0,20.3,1.6
3,2305.2631578947367,38,0,0,22.9,1.46
5,4053.061224489796,49,1,0,21.0,3.31
3,234.7826086956522,69,0,0,20.5,0.27
3,1706.25,96,0,1,23.9,2.73
3,1564.2857142857142,56,1,0,24.5,1.46
5,5820.0,20,1,1,23.7,1.94
2,1200.0,83,1,0,18.0,1.66
5,632.7272727272727,110,1,1,17.8,1.16
4,1748.780487804878,82,1,0,16.7,2.39
4,1033.3333333333333,18,0,0,23.5,0.31
5,860.377358490566,53,0,1,17.9,0.76
4,2214.4329896907216,97,0,0,16.9,3.58
0,4660.0,60,0,1,22.7,4.66
1,2847.4576271186443,59,1,0,20.4,2.8
2,1924.1379310344828,87,1,1,18.8,2.79
5,300.0,70,1,1,21.3,0.35
3,1557.8947368421052,57,0,0,23.0,1.48
3,2443.6363636363635,55,0,0,22.8,2.24
5,3050.602409638554,83,0,0,22.4,4.22
0,7857.142857142857,21,0,1,20.7,2.75
1,775.2808988764045,89,1,1,17.1,1.15
2,4342.105263157895,38,0,1,22.2,2.75
0,1115.0943396226414,106,0,1,18.2,1.97
1,559.6153846153846,104,1,0,17.8,0.97
0,12375.0,24,1,0,19.5,4.95
2,26400.0,4,1,0,17.6,1.76
5,818.75,96,1,1,19.1,1.31
1,32500.0,6,0,1,20.2,3.25
3,2072.0,75,0,0,16.8,2.59
5,2131.9148936170213,94,0,1,17.4,3.34
3,5550.0,12,0,0,16.4,1.11
1,1617.857142857143,56,1,1,22.7,1.51
1,106.93069306930693,101,0,0,21.4,0.18
4,10071.42857142857,14,0,0,20.4,2.35
2,2414.285714285714,84,0,0,21.4,3.38
5,1482.3529411764705,17,0,1,15.9,0.42
4,3600.0,38,0,0,16.2,2.28
2,3163.6363636363635,66,0,0,15.3,3.48
1,2909.090909090909,33,0,1,22.8,1.6
0,240.0,100,0,1,23.6,0.4
3,2637.2093023255816,43,0,0,15.1,1.89
3,4145.454545454545,55,1,0,23.6,3.8
3,4392.452830188679,53,1,1,20.4,3.88
1,1438.235294117647,68,1,0,20.4,1.63
5,5960.0,15,0,1,17.0,1.49
2,2332.5,80,1,1,18.6,3.11
1,665.2173913043479,92,0,0,19.5,1.02
3,1533.3333333333333,18,0,1,21.4,0.46
0,1717.2413793103449,58,0,0,18.2,1.66
3,2957.7464788732395,71,0,0,16.9,3.5
4,42000.0,5,0,1,19.7,3.5
0,4714.285714285715,35,0,0,25.0,2.75
3,1579.591836734694,49,0,0,17.6,1.29
1,8662.5,32,0,1,20.2,4.62
0,5742.857142857143,28,0,1,16.1,2.68
5,1362.5000000000002,48,0,1,24.5,1.09
0,3066.6666666666665,36,0,1,15.9,1.84
5,10800.0,20,1,1,20.7,3.6
5,2691.089108910891,101,1,0,23.3,4.53
2,1731.8181818181818,88,0,1,21.2,2.54
1,162.85714285714286,70,0,0,19.4,0.19
4,2498.73417721519,79,0,1,15.2,3.29
1,1411.111111111111,108,1,0,15.8,2.54
1,1917.7570093457944,107,1,1,16.8,3.42
3,1167.5675675675675,74,0,0,17.5,1.44
5,765.7894736842105,76,0,0,21.3,0.97
0,2795.744680851064,47,1,1,15.2,2.19
0,1850.0,24,0,0,18.6,0.74
0,8066.666666666667,27,0,1,19.3,3.63
1,2325.0,56,0,1,22.4,2.17
3,2522.0338983050847,118,1,1,20.6,4.96
2,3044.4444444444443,27,0,1,18.8,1.37
3,28800.0,4,1,1,22.1,1.92
2,2866.6666666666665,99,0,1,17.3,4.73
3,5451.428571428572,35,0,0,20.8,3.18
5,2543.362831858407,113,0,0,16.2,4.79
3,426.6666666666667,90,1,1,23.6,0.64
3,3120.0,75,0,1,21.3,3.9
0,1653.9130434782608,115,0,1,16.9,3.17
0,2641.791044776119,67,1,1,18.8,2.95
0,400.0,48,0,1,16.3,0.32
4,6206.25,32,1,0,21.8,3.31
4,440.81632653061223,98,0,1,17.2,0.72
5,76.59574468085107,94,0,1,24.4,0.12
2,1221.2389380530974,113,1,0,22.4,2.3
0,2481.0810810810813,74,0,1,17.1,3.06
1,545.4545454545455,88,0,1,24.4,0.8
5,754.5454545454545,66,1,1,23.2,0.83
1,2056.0975609756097,82,0,1,18.6,2.81
2,18046.153846153848,13,0,0,19.6,3.91
4,615.7894736842105,76,1,1,19.9,0.78
3,1909.5652173913043,115,0,0,21.4,3.66
4,1366.2650602409637,83,0,1,24.4,1.89
0,12300.0,12,1,1,22.1,2.46
0,99800.0,3,0,0,24.5,4.99
0,1504.7619047619048,63,1,0,23.7,1.58
0,1902.857142857143,70,1,0,22.0,2.22
1,8888.888888888889,27,0,0,16.9,4.0
0,768.0,25,1,0,25.0,0.32
5,8100.0,20,0,1,22.5,2.7
3,3307.317073170732,41,1,0,17.5,2.26
3,1140.0,20,1,1,16.5,0.38
0,1990.909090909091,66,1,0,17.6,2.19
1,17907.69230769231,13,0,0,16.7,3.88
2,1579.591836734694,98,0,0,18.3,2.58
1,5059.090909090909,44,0,1,20.1,3.71
1,3447.2727272727275,55,0,1,19.9,3.16
1,2372.093023255814,86,1,1,16.1,3.4
0,339.82300884955754,113,1,1,21.8,0.64
3,2742.8571428571427,28,0,0,19.9,1.28
3,2463.8297872340427,47,0,1,15.4,1.93
0,3472.5,80,0,0,22.0,4.63
2,1280.4878048780488,82,1,0,16.2,1.75
4,4400.0,33,1,1,18.5,2.42
0,306.1224489795918,98,0,0,21.6,0.5
3,6900.0,40,1,0,18.5,4.6
5,2073.684210526316,114,1,1,23.9,3.94
5,4400.0,9,0,0,19.1,0.66
4,1043.076923076923,65,0,1,20.4,1.13
4,3495.652173913043,69,0,0,20.6,4.02
1,2270.0,60,1,1,18.0,2.27
0,11200.0,12,0,0,24.4,2.24
5,2117.2413793103447,87,1,1,23.5,3.07
3,1373.6842105263158,38,0,0,22.4,0.87
3,230.76923076923077,78,0,0,21.7,0.3
3,6428.571428571428,35,1,1,21.3,3.75
3,57750.0,4,1,1,24.1,3.85
1,3347.3684210526317,38,0,1,24.5,2.12
1,3375.9036144578313,83,1,0,16.9,4.67
3,4511.11111111111,27,1,0,16.1,2.03
4,213.0841121495327,107,0,0,20.1,0.38
4,1665.9574468085107,94,1,1,21.1,2.61
1,3012.2448979591836,49,0,1,19.6,2.46
3,4523.076923076923,13,1,1,16.3,0.98
2,600.0,24,1,1,20.8,0.24
0,663.1578947368421,76,0,1,23.4,0.84
3,3540.0,10,1,0,24.7,0.59
5,1827.2727272727273,22,1,0,20.1,0.67
3,118.81188118811882,101,0,0,21.2,0.2
4,2138.4615384615386,78,1,1,24.0,2.78
4,600.0000000000001,54,0,0,21.5,0.54
0,3665.625,64,0,0,24.3,3.91
0,740.0,60,1,0,20.4,0.74
3,9933.333333333334,27,0,1,15.5,4.47
1,203.6697247706422,109,0,0,17.6,0.37
5,369.2307692307692,52,0,1,21.1,0.32
5,1579.3103448275863,87,0,1,23.9,2.29
0,1436.3636363636363,33,0,0,19.0,0.79
0,6085.714285714285,42,0,1,24.3,4.26
5,566.6666666666666,90,0,1,22.8,0.85
5,1262.5,96,1,0,21.1,2.02
0,1850.420168067227,119,1,0,20.1,3.67
0,800.0,21,1,1,20.7,0.28
3,7637.8378378378375,37,0,0,24.2,4.71
3,8271.42857142857,28,1,0,21.9,3.86
0,720.0,65,1,1,23.6,0.78
4,3146.3414634146343,41,1,0,15.7,2.15
0,2219.277108433735,83,1,0,22.8,3.07
4,2368.4210526315787,38,1,1,22.5,1.5
0,1950.0,12,1,0,17.2,0.39
3,2632.8358208955224,67,0,0,23.3,2.94
3,15985.714285714286,14,0,0,22.2,3.73
0,1897.6744186046512,86,0,1,21.2,2.72
5,1746.6666666666667,90,0,1,23.7,2.62
3,2618.181818181818,66,1,0,17.9,2.88
2,8100.0,28,0,1,23.6,3.78
1,1574.025974025974,77,0,0,17.6,2.02
4,1343.2835820895523,67,0,1,18.0,1.5
4,14400.000000000002,18,0,1,16.6,4.32
4,2752.3809523809523,63,0,1,22.4,2.89
5,7500.0,18,1,0,24.1,2.25
1,19533.333333333332,9,0,0,15.2,2.93
1,114.78260869565217,115,0,0,17.8,0.22
0,7056.0,25,0,0,17.1,2.94
4,355.75221238938053,113,0,0,23.0,0.67
0,2473.5849056603774,106,0,0,24.1,4.37
1,2568.2926829268295,82,1,0,24.0,3.51
0,4151.351351351352,37,0,1,15.1,2.56
0,32485.714285714286,7,0,1,17.4,3.79
3,2742.0560747663553,107,1,0,15.9,4.89
3,3975.0,32,0,0,16.4,2.12
3,6369.230769230769,39,0,0,19.3,4.14
5,656.4705882352941,85,1,1,19.6,0.93
1,6087.5,48,0,0,19.0,4.87
2,13000.0,18,0,1,19.5,3.9
1,15524.999999999998,16,0,0,21.2,4.14
1,1805.5555555555557,108,1,0,24.4,3.25
4,5240.0,45,0,0,17.3,3.93
2,2070.2702702702704,111,0,0,16.0,3.83
4,550.0,96,0,1,21.5,0.88
5,1963.157894736842,114,0,0,16.0,3.73
4,2075.0,72,0,0,16.5,2.49
0,1059.1304347826085,115,1,0,17.3,2.03
3,9566.666666666666,18,0,0,20.2,2.87
3,5255.555555555556,54,0,0,18.4,4.73
0,3626.865671641791,67,1,1,18.6,4.05
4,4957.894736842105,57,1,0,15.8,4.71
3,2736.5853658536585,41,0,1,20.9,1.87
0,122.44897959183673,98,0,0,22.2,0.2
3,1234.2857142857144,105,1,0,21.1,2.16
3,3742.8571428571427,63,0,0,20.6,3.93
3,3461.5384615384614,78,1,0,17.9,4.5
4,7903.448275862069,29,1,0,21.4,3.82
0,1569.2307692307693,65,0,0,17.9,1.7
5,2094.915254237288,59,0,0,21.8,2.06
1,6157.894736842105,38,0,1,19.9,3.9
0,5925.0,24,1,0,22.3,2.37
5,2371.4285714285716,84,1,0,15.7,3.32
0,3616.2162162162163,37,1,1,24.5,2.23
1,7623.529411764706,34,0,1,17.7,4.32
3,3072.7272727272725,33,1,0,22.1,1.69
1,891.0891089108911,101,1,0,17.8,1.5
5,118500.0,2,1,1,23.7,3.95
1,28050.0,4,0,0,22.6,1.87
0,1248.0,50,1,0,19.4,1.04
1,722.0338983050848,118,0,1,23.8,1.42
3,2314.285714285714,49,0,0,16.0,1.89
4,915.2542372881356,118,0,0,16.8,1.8
3,2855.1724137931033,58,1,0,15.7,2.76
4,2174.1176470588234,85,1,0,18.2,3.08
4,2185.714285714286,42,0,1,19.2,1.53
1,520.5882352941177,68,1,1,22.5,0.59
2,868.421052631579,38,0,1,22.2,0.55
1,1958.6206896551723,87,0,0,18.7,2.84
3,2409.6774193548385,62,0,1,23.4,2.49
2,280.0,45,0,1,23.1,0.21
1,1981.818181818182,66,1,1,19.3,2.18
4,6599.999999999999,38,1,0,25.0,4.18
4,5742.857142857142,21,1,0,16.1,2.01
0,2953.846153846154,52,0,0,16.4,2.56
4,2125.233644859813,107,1,1,20.4,3.79
5,10179.310344827587,29,1,0,18.7,4.92
0,2501.785714285714,112,1,1,24.5,4.67
3,1154.8387096774193,93,0,1,17.6,1.79
4,148.57142857142858,105,0,0,19.3,0.26
0,994.7368421052631,114,0,0,23.2,1.89
5,882.3529411764706,17,1,1,18.1,0.25
5,5524.137931034483,29,0,1,21.1,2.67
4,18969.230769230773,13,0,1,15.4,4.11
3,4334.693877551021,49,1,0,18.1,3.54
4,1180.327868852459,61,0,1,21.4,1.2
2,250.0,72,0,1,17.7,0.3
2,1912.5,64,0,0,19.9,2.04
0,3850.0,48,0,0,23.8,3.08
0,5134.883720930233,43,0,0,23.9,3.68
5,6560.0,30,1,0,22.9,3.28
4,1492.436974789916,119,0,0,20.9,2.96
4,8653.846153846154,26,0,1,19.6,3.75
0,3641.3793103448274,29,1,0,24.7,1.76
3,3977.777777777778,27,0,1,19.5,1.79
3,2130.0,60,1,1,15.5,2.13
4,2016.0,50,1,1,23.0,1.68
3,1058.8235294117646,51,0,0,21.7,0.9
0,3153.4883720930234,86,1,0,21.9,4.52
2,528.440366972477,109,0,1,22.5,0.96
5,7200.0,31,0,0,19.1,3.72
1,452.05479452054794,73,0,1,16.6,0.55
3,1302.6315789473683,76,1,1,24.7,1.65
3,2926.6666666666665,90,0,0,19.2,4.39
4,370.5882352941176,68,0,0,20.4,0.42
2,3564.705882352941,34,1,0,20.3,2.02
2,4742.857142857143,63,0,0,18.3,4.98
2,12081.818181818182,22,0,0,19.5,4.43
3,1393.103448275862,87,0,1,20.7,2.02
4,2813.333333333333,90,0,1,16.8,4.22
4,3628.125,64,1,0,15.7,3.87
3,2600.0,60,1,0,19.9,2.6
0,26760.0,5,0,0,15.2,2.23
1,3617.391304347826,69,1,0,16.0,4.16
1,114.28571428571429,63,1,1,23.0,0.12
4,3187.5,16,1,1,18.4,0.85
0,2688.8888888888887,108,0,1,22.7,4.84
5,4073.684210526316,19,0,0,21.3,1.29
5,894.8275862068965,116,0,1,15.0,1.73
3,4907.142857142857,28,0,1,17.4,2.29
5,3233.3333333333335,90,0,0,23.2,4.85
1,4344.444444444444,54,0,1,23.4,3.91
3,834.7826086956521,69,0,0,21.6,0.96
3,446.8085106382979,94,1,1,19.4,0.7
3,1726.530612244898,49,0,0,22.3,1.41
5,2235.3982300884954,113,0,1,22.3,4.21
1,4550.0,24,1,1,23.4,1.82
5,830.3571428571429,112,0,0,16.7,1.55
0,1957.5,80,1,0,19.7,2.61
3,1003.960396039604,101,0,1,24.6,1.69
4,5345.454545454545,22,1,1,19.0,1.96
2,401.6949152542373,118,0,1,16.6,0.79
3,3020.0,30,1,1,21.8,1.51
2,30960.0,5,0,0,21.7,2.58
5,1655.1724137931035,29,0,1,21.0,0.8
3,462.5,48,0,0,21.9,0.37
2,853.8461538461538,26,0,1,15.8,0.37
4,833.6283185840708,113,0,0,17.0,1.57
4,3233.3333333333335,18,0,0,19.0,0.97
3,4072.131147540983,61,1,1,24.8,4.14
3,1717.948717948718,117,0,0,18.0,3.35
5,3698.6301369863013,73,0,0,18.7,4.5
2,633.3333333333334,18,1,1,15.7,0.19
5,3388.7323943661972,71,0,1,16.3,4.01
2,132.5581395348837,86,0,1,17.3,0.19
1,5451.428571428572,35,0,1,20.3,3.18
1,5010.0,20,0,1,24.7,1.67
4,3763.6363636363635,11,0,0,18.4,0.69
3,6600.0,27,1,1,19.2,2.97
0,2239.0243902439024,82,0,1,19.7,3.06
2,2868.0,100,1,0,15.8,4.78
0,1254.5454545454545,55,0,1,23.6,1.15
3,1036.9565217391305,92,0,0,23.1,1.59
0,6300.0,42,1,0,17.7,4.41
4,1183.3333333333333,36,0,1,24.8,0.71
0,1794.4954128440368,109,1,0,17.4,3.26
0,2800.0,27,1,1,22.6,1.26
1,1870.5882352941176,17,0,0,18.5,0.53
3,752.2388059701492,67,1,1,19.3,0.84
3,13661.538461538461,13,0,1,19.0,2.96
5,1556.25,96,1,0,22.7,2.49
0,31000.0,3,1,0,18.6,1.55
1,10338.461538461539,13,0,0,23.4,2.24
4,2766.6666666666665,54,0,1,18.2,2.49
